Link,Question,Username,Comment
https://www.instagram.com/p/DHpPL38TvWW/?hl=en,"Name one thing you can strive to do more or less often, to thrive in your life!",sgsmu.studentcare,"<time class=""_a9ze _a9zf"" datetime=""2025-03-26T01:36:00.000Z"" title=""Mar 26, 2025"">11w</time><div class=""x9f619 xjbqb8w x1rg5ohu x15mokao x1ga7v0g x16uus16 xbiv7yw x1n2onr6 x1plvlek xryxfnj x1c4vz4f x2lah0s xdt5ytf xqjyukv x1qjc9v5 x1oa3qoh x1nhvcw1""></div>"
,,adhitya._.adhitya,More sleep
,,imchloek,exercise more~
,,k.aisheng,Sleep 🙌
,,cnchloee,i shld eat more :&gt;
,,gymxgoh,sleep more!!!!!
,,nathangankd,I will love myself more
,,moe_yin_zaw,Use LinkedIn etc with a mindfully!!
,,weiixshann,Stop procrastinating
,,kris.xx,sleep more!!!
,,_a.a________________,Sleep more
,,minsze_,Sleep more
,,zh3ngfeng,Drink less coffee :)
,,s.anjidaaa,sleep earlier
,,f__shwn,prioritise sleep
,,rrynee,have quality sleeppp
,,confusedxavierisconfused,Sleep more
,,asdfghjkleon,take more breaks while studying 😎
,,nwyrac,Exercise more
,,mikhailmorb,I strive to study more!
,,sanatemytoes,eat healtjier and sleep more
,,lasarolll,Get a lot of sleep :D
,,char.liing,journalling!
,,jooeeellll_,Time aside for journaling
,,bulaien_en,Sleep more
,,chav.jx,sleep more !
,,mikukaileh,Sleep more
,,acechowww,Stop procrastinating
,,oni_ginri,be less stressed
,,wynblu,STUDY MORE
,,vetrimeetsworld,"talk less to <a class=""x1i10hfl xjbqb8w x1ejq31n x18oe1m7 x1sy0etr xstzfhl x972fbf x10w94by x1qhh985 x14e42zd x9f619 x1ypdohk xt0psk2 xe8uvvx xdj266r x14z9mp xat24cr x1lziwak xexx8yu xyri2b x18d9i69 x1c1uobl x16tdsg8 x1hl2dhg xggy1nq x1a2a7pz notranslate _a6hd"" href=""/s_waikit/?hl=en"" role=""link"" tabindex=""0"">@s_waikit</a> <a class=""x1i10hfl xjbqb8w x1ejq31n x18oe1m7 x1sy0etr xstzfhl x972fbf x10w94by x1qhh985 x14e42zd x9f619 x1ypdohk xt0psk2 xe8uvvx xdj266r x14z9mp xat24cr x1lziwak xexx8yu xyri2b x18d9i69 x1c1uobl x16tdsg8 x1hl2dhg xggy1nq x1a2a7pz notranslate _a6hd"" href=""/sunthory/?hl=en"" role=""link"" tabindex=""0"">@sunthory</a>"
,,sethyup,i can run more often
,,c.xinyi_,Sleep lessss
,,sunnybunnymeggy,i strive to WIN things (like whack a frog)
,,ck_ktan,Code harder
,,jonathanxjt,Spend less time on tiktok
,,es.therr,sleep more
,,suz.csy,less procrastination 😢
,,virag.vk,Stop procrastinating
,,aaronwzq,sleeepp
,,joellimyh27,Run at least 1 time a week
,,ginaht2406,Be less negative :)
,,mil_meltz,sleeping more 👍🏻
,,theskyksblue,sleep more
,,jensooftw,sleep more
,,haawflakes,live laugh love
,,nackdugi,Drink more water
,,lxcius,Do more work
,,trenyyyce,be happy!
,,_wanqi_yeo_,sleep  more
,,yuxuanchiaa,more me time
,,conrad.grr,Sleep
